AL_sldl_50;33.50685832238472,-86.470944832857;4.43;
AL_sldl_50;33.58651577354797,-86.470944832857;4.43;
AL_sldl_50;33.66617322471122,-86.470944832857;4.43;
AL_sldl_50;33.74583067587447,-86.470944832857;4.43;
AL_sldl_50;33.42720087122147,-86.375539167143;4.43;
AL_sldl_50;33.50685832238472,-86.375539167143;4.43;
AL_sldl_50;33.66617322471122,-86.375539167143;4.43;
AL_sldl_50;33.74583067587447,-86.375539167143;4.43;
AL_sldl_50;33.66617322471122,-86.280133501429;4.43;
AL_sldl_50;33.74583067587447,-86.280133501429;4.43;
